software_category,software_down,software_name
internet-network,65.8,HyperTerminal Private Edition (HTPE) 
internet-network,200,BitComet 
internet-network,100,eMule 
internet-network,500,Ares 
internet-network,12.8,MP3 Downloader 
internet-network,18.3,uTorrent Alpha 
internet-network,83.4,uTorrent Portable 
internet-network,16.6,Bit Che 
internet-network,30.3,Soulseek 
internet-network,35.7,BitSpirit 
internet-network,83.1,Download Accelerator Plus 
internet-network,9.5,Free Instagram Download 
internet-network,8.7,BitTorrent 
internet-network,25.3,WinSCP 
internet-network,7.2,Deluge 
internet-network,5.3,Windows Search 
internet-network,5.2,X-Win32 
internet-network,6.4,Torrex Lite - Torrent Downloader 
internet-network,9.6,Blubster 
internet-network,26.5,VNC 
internet-network,11.7,Cisco Network Magic 
internet-network,9.5,PuTTY Portable 
internet-network,7.4,Torrent RT Free 
internet-network,5.0,WLAN Optimizer 
internet-network,18.1,Picasa Album Downloader 
internet-network,21.2,jDownloader Portable 
internet-network,12.1,Kazaa Lite 
internet-network,6.8,Windows Video Downloader 
internet-network,10.1,eDonkey2000 
internet-network,9.9,Transmission-Qt 
internet-network,22.4,StrongDC++ 
internet-network,200,FlashGet 
internet-network,8.4,BitComet 
internet-network,14.5,Free Torrent Download 
internet-network,6.7,Ethernet 
internet-network,6.1,Free Email Extractor 
internet-network,49.2,Free Dailymotion Download 
internet-network,5.6,Online Games Downloader  
internet-network,11.0,DC++ 
internet-network,30.9,Download Accelerator Manager 
internet-network,47.8,uTorrent Plus 
internet-network,26.5,FreeRapid Downloader 
internet-network,46.5,Video Download Capture 
internet-network,11.6,UltraTorrent 
internet-network,20.9,LuckyWire 
internet-network,37.7,Morpheus 
internet-network,23.2,GigaGet 
internet-network,15.8,eMule Plus 
internet-network,9.9,Softonic Smart Search 
internet-network,14.2,PeerGuardian 
internet-network,6.5,Raptor 
internet-network,8.4,Tixati 
internet-network,8.4,Tixati 
internet-network,26.2,Internet Radio 
internet-network,7.4,Rapidshare Auto Downloader 
internet-network,6.3,DreaMule 
internet-network,10.5,Torrent Harvester 
internet-network,5.2,"Social Downloader for Facebook, Instagram and Twitter "
internet-network,17.9,VIP Torrent 
internet-network,10.1,Torrent remote 
internet-network,5.8,Kazaa Lite Resurrection 
internet-network,17.4,UltraVNC 
internet-network,36.5,Cabos 
internet-network,7.3,Super Torrent Search 
internet-network,14.0,Arctic Torrent 
internet-network,21.4,Fresh Download 
internet-network,9.8,Flickr Downloader 
internet-network,21.4,Fresh Download 
internet-network,10.7,Warez 
internet-network,6.2,Web Dumper 
multimedia,9600,VLC media player 
multimedia,1100,Adobe Photoshop 7.0.1 Update 
multimedia,1800,Adobe Photoshop CC 
multimedia,400,Netflix 
multimedia,3400,Adobe Flash Player 
multimedia,2000,iTunes 
multimedia,200,Adobe Photoshop Express for Windows 10 
multimedia,81400,KMPlayer 
multimedia,200,PotPlayer 
multimedia,1800,YTD Video Downloader 
multimedia,46.1,Camera 
multimedia,400,iTunes 64-bit 
multimedia,800,Windows Media Player 
multimedia,300,AutoCAD 
multimedia,1500,Picasa 
multimedia,3600,Format Factory 
multimedia,100,Adobe Photoshop Lightroom 
multimedia,29.9,MS Paint 
multimedia,82.9,Autodesk DWG Trueview 
multimedia,400,Adobe Photoshop CS6 update 
multimedia,4100,PhotoScape 
multimedia,200,Ummy Video Downloader 
multimedia,200,Spotify 
multimedia,300,VLC for Windows 10 
multimedia,300,Adobe Illustrator CC 
multimedia,200,Adobe Pagemaker 
multimedia,100,Media Player Classic 
multimedia,100,ManyCam 
multimedia,300,Adobe Premiere Pro 
multimedia,900,Winamp 
multimedia,19.7,DaVinci Resolve 
multimedia,500,Sony Vegas Pro 
multimedia,200,PicsArt - Photo Studio for Windows 10 
multimedia,49.8,4k Video Downloader 
multimedia,100,Adobe After Effects 
multimedia,200,QuickTime 
multimedia,12.1,Windows Camera 
multimedia,52.1,Filmora Video Editor 
multimedia,47.0,Camera for Windows 10 
multimedia,200,Fast Video Downloader 
multimedia,27.5,Paint 3D 
multimedia,47.0,Camera for Windows 10 
multimedia,200,Fast Video Downloader 
multimedia,400,PaintTool SAI 
multimedia,100,Photo Editor 
multimedia,76.5,Tux Paint 
multimedia,200,Free Video Cutter Joiner 
multimedia,61.6,ClipGrab 
